L T t C
32 2.400000 27 765.56
32 2.400000 28 739.91
32 2.400000 29 707.93
32 2.400000 30 679.21
32 2.400000 31 641.49
32 2.400000 32 607.56
32 2.400000 33 582.25
32 2.400000 34 561.71
32 2.400000 35 537.82
32 2.400000 36 517.88
32 2.400000 37 493.29
32 2.400000 38 467.04
32 2.400000 39 450.00
32 2.400000 40 427.53
32 2.400000 41 413.89
32 2.400000 42 403.46
32 2.400000 43 392.72
32 2.400000 44 375.52
32 2.400000 45 350.21
32 2.400000 46 338.19
32 2.400000 47 323.79
32 2.400000 48 308.55
32 2.400000 49 293.44
32 2.400000 50 283.53
32 2.400000 51 266.40
32 2.400000 52 257.79
32 2.400000 53 249.39
32 2.400000 54 238.22
32 2.400000 55 229.43
32 2.400000 56 225.83
32 2.400000 57 218.63
32 2.400000 58 202.48
32 2.400000 59 192.43
32 2.400000 60 188.90
32 2.400000 61 179.37
32 2.400000 62 178.21
32 2.400000 63 172.63
32 2.400000 64 171.91
32 2.400000 65 165.53
32 2.400000 66 159.57
32 2.400000 67 157.22
32 2.400000 68 153.91
32 2.400000 69 147.27
32 2.400000 70 140.80
32 2.400000 71 131.59
32 2.400000 72 129.61
32 2.400000 73 122.15
32 2.400000 74 117.04
32 2.400000 75 112.57
32 2.400000 76 116.16
32 2.400000 77 109.83
32 2.400000 78 90.17
32 2.400000 79 74.11
32 2.400000 80 66.79
32 2.400000 81 63.47
32 2.400000 82 60.68
32 2.400000 83 57.89
32 2.400000 84 48.71
32 2.400000 85 42.98
32 2.400000 86 44.99
32 2.400000 87 44.70
32 2.400000 88 36.61
32 2.400000 89 42.42
32 2.400000 90 40.18
32 2.400000 91 37.19
32 2.400000 92 39.96
32 2.400000 93 42.34
32 2.400000 94 41.00
32 2.400000 95 37.49
32 2.400000 96 38.72
32 2.400000 97 45.52
32 2.400000 98 44.13
32 2.400000 99 50.93
32 2.400000 100 52.23
32 2.400000 101 44.81
32 2.400000 102 47.99
32 2.400000 103 47.31
32 2.400000 104 46.35
32 2.400000 105 45.39
32 2.400000 106 46.02
32 2.400000 107 49.44
32 2.400000 108 55.02
32 2.400000 109 61.95
32 2.400000 110 70.48
32 2.400000 111 71.60
32 2.400000 112 68.19
32 2.400000 113 69.80
32 2.400000 114 72.03
32 2.400000 115 71.91
32 2.400000 116 68.02
32 2.400000 117 59.04
32 2.400000 118 55.99
32 2.400000 119 61.03
32 2.400000 120 63.38
32 2.400000 121 58.59
32 2.400000 122 54.75
32 2.400000 123 49.52
32 2.400000 124 49.67
32 2.400000 125 48.03
32 2.400000 126 43.71
32 2.400000 127 42.73
32 2.400000 128 46.65
32 2.400000 129 53.66
32 2.400000 130 57.38
32 2.400000 131 59.15
32 2.400000 132 57.58
32 2.400000 133 59.24
32 2.400000 134 57.46
32 2.400000 135 59.24
32 2.400000 136 56.99
32 2.400000 137 54.12
32 2.400000 138 53.77
32 2.400000 139 56.12
32 2.400000 140 47.31
32 2.400000 141 41.00
32 2.400000 142 40.29
32 2.400000 143 44.90
32 2.400000 144 42.37
32 2.400000 145 41.27
32 2.400000 146 44.97
32 2.400000 147 43.83
32 2.400000 148 38.98
32 2.400000 149 39.56
32 2.400000 150 36.84
32 2.400000 151 42.05
32 2.400000 152 41.85
32 2.400000 153 41.27
32 2.400000 154 29.47
32 2.400000 155 23.85
32 2.400000 156 19.26
32 2.400000 157 15.40
32 2.400000 158 19.09
32 2.400000 159 26.35
32 2.400000 160 24.38
32 2.400000 161 12.66
32 2.400000 162 8.36
32 2.400000 163 9.80
32 2.400000 164 5.74
32 2.400000 165 6.06
32 2.400000 166 9.82
32 2.400000 167 11.22
32 2.400000 168 16.33
32 2.400000 169 15.29
32 2.400000 170 8.43
32 2.400000 171 5.22
32 2.400000 172 1.47
32 2.400000 173 2.92
32 2.400000 174 4.58
32 2.400000 175 -1.47
32 2.400000 176 -1.89
32 2.400000 177 4.04
32 2.400000 178 9.00
32 2.400000 179 9.60
32 2.400000 180 8.88
32 2.400000 181 8.74
32 2.400000 182 7.85
32 2.400000 183 1.66
32 2.400000 184 -5.90
32 2.400000 185 -6.38
32 2.400000 186 -3.69
32 2.400000 187 4.74
32 2.400000 188 -0.86
32 2.400000 189 -9.93
32 2.400000 190 -2.65
32 2.400000 191 -10.06
32 2.400000 192 -10.53
32 2.400000 193 -3.57
32 2.400000 194 2.68
32 2.400000 195 7.49
32 2.400000 196 9.92
32 2.400000 197 3.90
32 2.400000 198 7.09
32 2.400000 199 7.21
32 1.800000 0 1457.36
32 1.800000 1 461.50
32 1.800000 2 174.73
32 1.800000 3 75.27
32 1.800000 4 35.09
32 1.800000 5 20.07
32 1.800000 6 12.06
32 1.800000 7 8.29
32 1.800000 8 3.09
32 1.800000 9 3.81
32 1.800000 10 1.36
32 1.800000 11 -0.34
32 1.800000 12 -0.97
32 1.800000 13 -1.63
32 1.800000 14 -0.51
32 1.800000 15 -2.47
32 1.800000 16 0.07
32 1.800000 17 -1.36
32 1.800000 18 0.57
32 1.800000 19 -0.62
32 1.800000 20 -0.05
32 1.800000 21 0.89
32 1.800000 22 3.59
32 1.800000 23 1.02
32 1.800000 24 -0.33
32 1.800000 25 -0.43
32 1.800000 26 0.77
32 1.800000 27 -1.53
32 1.800000 28 -0.43
32 1.800000 29 -0.43
32 1.800000 30 -1.58
32 1.800000 31 -3.09
32 1.800000 32 -1.87
32 1.800000 33 0.12
32 1.800000 34 1.24
32 1.800000 35 2.61
32 1.800000 36 -0.68
32 1.800000 37 -1.25
32 1.800000 38 -2.09
32 1.800000 39 1.66
32 1.800000 40 0.76
32 1.800000 41 0.93
32 1.800000 42 2.25
