L 1024 T 2.269200
x 543 value 0.193448
x 544 value 0.193429
x 545 value 0.192925
x 546 value 0.193460
x 547 value 0.193409
x 548 value 0.193236
x 549 value 0.193447
x 550 value 0.192958
x 551 value 0.192884
x 552 value 0.192877
x 553 value 0.193466
x 554 value 0.193113
x 555 value 0.192914
x 556 value 0.193115
x 557 value 0.193427
x 558 value 0.193230
x 559 value 0.193680
x 560 value 0.193287
x 561 value 0.193188
x 562 value 0.193532
x 563 value 0.193527
x 564 value 0.193616
x 565 value 0.193280
x 566 value 0.193424
x 567 value 0.193785
x 568 value 0.192912
x 569 value 0.193538
x 570 value 0.193399
x 571 value 0.193398
x 572 value 0.193514
x 573 value 0.193407
x 574 value 0.193807
x 575 value 0.193651
x 576 value 0.193475
x 577 value 0.193456
x 578 value 0.194012
x 579 value 0.193309
x 580 value 0.193611
x 581 value 0.193952
x 582 value 0.193497
x 583 value 0.193820
x 584 value 0.193658
x 585 value 0.192893
x 586 value 0.193984
x 587 value 0.194301
x 588 value 0.193410
x 589 value 0.194375
x 590 value 0.194064
x 591 value 0.193608
x 592 value 0.193780
x 593 value 0.194059
x 594 value 0.194030
x 595 value 0.193912
x 596 value 0.193888
x 597 value 0.193596
x 598 value 0.194708
x 599 value 0.194508
x 600 value 0.194184
x 601 value 0.194070
x 602 value 0.194067
x 603 value 0.193487
x 604 value 0.194550
x 605 value 0.194132
x 606 value 0.195048
x 607 value 0.194290
x 608 value 0.193835
x 609 value 0.194227
x 610 value 0.193833
x 611 value 0.194312
x 612 value 0.194480
x 613 value 0.194519
x 614 value 0.194558
x 615 value 0.194238
x 616 value 0.194071
x 617 value 0.194356
x 618 value 0.194214
x 619 value 0.195013
x 620 value 0.194471
x 621 value 0.195001
x 622 value 0.194817
x 623 value 0.194819
x 624 value 0.194696
x 625 value 0.195035
x 626 value 0.194873
x 627 value 0.194668
x 628 value 0.194116
x 629 value 0.194842
x 630 value 0.195165
x 631 value 0.195492
x 632 value 0.194824
x 633 value 0.195635
x 634 value 0.194964
x 635 value 0.195475
x 636 value 0.194905
x 637 value 0.194520
x 638 value 0.194922
x 639 value 0.195615
x 640 value 0.194857
x 641 value 0.194768
x 642 value 0.195578
x 643 value 0.195455
x 644 value 0.194859
x 645 value 0.195639
x 646 value 0.195900
x 647 value 0.195968
x 648 value 0.195250
x 649 value 0.195625
x 650 value 0.195205
x 651 value 0.195650
x 652 value 0.195178
x 653 value 0.195922
x 654 value 0.195262
x 655 value 0.195994
x 656 value 0.195722
x 657 value 0.195352
x 658 value 0.195842
x 659 value 0.196162
x 660 value 0.196091
x 661 value 0.196061
x 662 value 0.196305
x 663 value 0.196568
x 664 value 0.196189
x 665 value 0.195911
x 666 value 0.196432
x 667 value 0.196477
x 668 value 0.196536
x 669 value 0.196526
x 670 value 0.196141
x 671 value 0.196593
x 672 value 0.196361
x 673 value 0.197395
x 674 value 0.196540
x 675 value 0.196924
x 676 value 0.197180
x 677 value 0.196674
x 678 value 0.196708
x 679 value 0.197025
x 680 value 0.197210
x 681 value 0.197118
x 682 value 0.196429
x 683 value 0.197063
x 684 value 0.197419
x 685 value 0.197069
x 686 value 0.197153
x 687 value 0.197139
x 688 value 0.197469
x 689 value 0.197446
x 690 value 0.197947
x 691 value 0.197745
x 692 value 0.197422
x 693 value 0.197258
x 694 value 0.197969
x 695 value 0.198101
x 696 value 0.197459
x 697 value 0.198065
x 698 value 0.197911
x 699 value 0.197917
x 700 value 0.198314
x 701 value 0.197899
x 702 value 0.198628
x 703 value 0.198560
x 704 value 0.197941
x 705 value 0.198601
x 706 value 0.198266
x 707 value 0.198717
x 708 value 0.198543
x 709 value 0.198338
x 710 value 0.198970
x 711 value 0.198508
x 712 value 0.198802
x 713 value 0.198890
x 714 value 0.199487
x 715 value 0.198737
x 716 value 0.199102
x 717 value 0.199407
x 718 value 0.199257
x 719 value 0.199699
x 720 value 0.199512
x 721 value 0.199231
x 722 value 0.199486
x 723 value 0.199110
x 724 value 0.200149
x 725 value 0.200071
x 726 value 0.199252
x 727 value 0.199297
x 728 value 0.199751
x 729 value 0.199914
x 730 value 0.199514
x 731 value 0.200515
x 732 value 0.199974
x 733 value 0.200279
x 734 value 0.200506
x 735 value 0.199981
x 736 value 0.200307
x 737 value 0.200942
x 738 value 0.199782
x 739 value 0.200768
x 740 value 0.200842
x 741 value 0.200929
x 742 value 0.201406
x 743 value 0.200838
x 744 value 0.201220
x 745 value 0.201001
x 746 value 0.200997
x 747 value 0.201925
x 748 value 0.201613
x 749 value 0.201751
x 750 value 0.201179
x 751 value 0.201952
x 752 value 0.202218
x 753 value 0.202149
x 754 value 0.202434
x 755 value 0.202057
x 756 value 0.201953
x 757 value 0.202104
x 758 value 0.202567
x 759 value 0.202077
x 760 value 0.202991
x 761 value 0.202840
x 762 value 0.203137
x 763 value 0.202767
x 764 value 0.203118
x 765 value 0.202918
x 766 value 0.203971
x 767 value 0.203478
x 768 value 0.204340
x 769 value 0.203438
x 770 value 0.203817
x 771 value 0.203710
x 772 value 0.203774
x 773 value 0.204350
x 774 value 0.203920
x 775 value 0.204532
x 776 value 0.204616
x 777 value 0.205064
x 778 value 0.204823
x 779 value 0.204856
x 780 value 0.204987
x 781 value 0.204864
x 782 value 0.205233
x 783 value 0.204756
x 784 value 0.204841
x 785 value 0.205364
x 786 value 0.205920
x 787 value 0.205610
x 788 value 0.205464
x 789 value 0.206666
x 790 value 0.206019
x 791 value 0.206406
x 792 value 0.206827
x 793 value 0.206596
x 794 value 0.206547
x 795 value 0.206887
x 796 value 0.206619
x 797 value 0.207060
x 798 value 0.207131
x 799 value 0.206913
x 800 value 0.207360
x 801 value 0.207583
x 802 value 0.207457
x 803 value 0.208272
x 804 value 0.207312
x 805 value 0.207680
x 806 value 0.208189
x 807 value 0.208314
x 808 value 0.208006
x 809 value 0.208930
x 810 value 0.208128
x 811 value 0.208372
x 812 value 0.208072
x 813 value 0.209356
x 814 value 0.209578
x 815 value 0.209271
x 816 value 0.209260
x 817 value 0.210412
x 818 value 0.209903
x 819 value 0.210184
x 820 value 0.210133
x 821 value 0.210166
x 822 value 0.210389
x 823 value 0.210642
x 824 value 0.210495
x 825 value 0.210400
x 826 value 0.211309
x 827 value 0.210919
x 828 value 0.210951
x 829 value 0.211035
x 830 value 0.211258
x 831 value 0.211665
x 832 value 0.211974
x 833 value 0.211642
x 834 value 0.212386
x 835 value 0.212105
x 836 value 0.212767
x 837 value 0.212518
x 838 value 0.212506
x 839 value 0.212645
x 840 value 0.213060
x 841 value 0.213940
x 842 value 0.213886
x 843 value 0.213579
x 844 value 0.214015
x 845 value 0.214118
x 846 value 0.214493
x 847 value 0.214025
x 848 value 0.214641
x 849 value 0.214992
x 850 value 0.215078
x 851 value 0.215569
x 852 value 0.214771
x 853 value 0.215778
x 854 value 0.215684
x 855 value 0.216054
x 856 value 0.216041
x 857 value 0.216009
x 858 value 0.216101
x 859 value 0.216697
x 860 value 0.216539
x 861 value 0.218074
x 862 value 0.217275
x 863 value 0.218088
x 864 value 0.217581
x 865 value 0.218617
x 866 value 0.218482
x 867 value 0.218542
x 868 value 0.218432
x 869 value 0.218537
x 870 value 0.219117
x 871 value 0.219478
x 872 value 0.219676
x 873 value 0.219547
x 874 value 0.219531
x 875 value 0.220261
x 876 value 0.220985
x 877 value 0.220927
x 878 value 0.221017
x 879 value 0.220919
x 880 value 0.221540
x 881 value 0.221895
x 882 value 0.221880
x 883 value 0.222010
x 884 value 0.222878
x 885 value 0.222587
x 886 value 0.223143
x 887 value 0.222975
x 888 value 0.223641
x 889 value 0.223547
x 890 value 0.224283
x 891 value 0.224479
x 892 value 0.224604
x 893 value 0.225120
x 894 value 0.225471
x 895 value 0.225599
x 896 value 0.225909
x 897 value 0.226966
x 898 value 0.226587
x 899 value 0.227512
x 900 value 0.227690
x 901 value 0.228375
x 902 value 0.228995
x 903 value 0.228017
x 904 value 0.228606
x 905 value 0.229219
x 906 value 0.230170
x 907 value 0.230640
x 908 value 0.230396
x 909 value 0.230793
x 910 value 0.231271
x 911 value 0.231949
x 912 value 0.232322
x 913 value 0.232565
x 914 value 0.232220
x 915 value 0.232926
x 916 value 0.232930
x 917 value 0.234183
x 918 value 0.233793
x 919 value 0.235415
x 920 value 0.235358
x 921 value 0.235108
x 922 value 0.235861
x 923 value 0.236605
x 924 value 0.237383
x 925 value 0.237409
x 926 value 0.237957
x 927 value 0.238032
x 928 value 0.238934
x 929 value 0.239621
x 930 value 0.239719
x 931 value 0.240840
x 932 value 0.241533
x 933 value 0.241678
x 934 value 0.241859
x 935 value 0.242945
x 936 value 0.243288
x 937 value 0.243287
x 938 value 0.243893
x 939 value 0.244342
x 940 value 0.245649
x 941 value 0.245890
x 942 value 0.246534
x 943 value 0.247185
x 944 value 0.247391
x 945 value 0.248731
x 946 value 0.249145
x 947 value 0.249910
